"","sp","lon","lat","sol","PNZ1"
"378","Zea mays",-97.762003,20.910099,9,3820
"379","Zea mays",-89.63333333,20.96666667,8,4520
"380","Zea mays",-90.046207,19.716788,8,4256
"381","Zea mays",-90.12082,19.746176,8,4256
"382","Zea mays",-98.869208,21.426842,9,3922
"383","Zea mays",-101.342386,17.581508,8,2933
"384","Zea mays",-97.675796,20.893005,9,3922
"385","Zea mays",-101.303874,17.678521,8,2933
"386","Zea mays",-98.712616,21.399889,9,3922
"387","Zea mays",-92.564373,16.332904,8,4043
"388","Zea mays",-92.564373,16.332904,8,4043
"389","Zea mays",-92.564373,16.332904,8,4043
"390","Zea mays",-92.564373,16.332904,8,4043
"391","Zea mays",-98.75,21.26666667,9,3820
"392","Zea mays",-97.85,21.15,9,3922
"393","Zea mays",-92.659404,15.332888,8,3763
"394","Zea mays",-88.732928,20.729917,8,4520
"395","Zea mays",-93.26666667,16.25,8,3616
"396","Zea mays",-101.799996,17.971798,11,3455
"397","Zea mays",-93.26666667,16.25,8,3616
"398","Zea mays",-54.341249,-25.859064,1,5304
"399","Zea mays",-58.56666667,-24.96666667,9,2706
"400","Zea mays",-59.31666667,-26.16666667,9,2346
"401","Zea mays",-97.83333333,21.38333333,9,3922
"402","Zea mays",-95.01666667,16.43333333,11,2696
"403","Zea mays",-104.469957,22.274119,9,2827
"404","Zea mays",-101.799996,17.971798,11,3455
"405","Zea mays",-89.251078,20.880724,8,4520
"406","Zea mays",-92.7,15.28333333,8,3763
"407","Zea mays",-93.71666667,16.7,8,3518
"408","Zea mays",-97.51666667,21.28333333,9,2822
"409","Zea mays",-93.4,17.85,12,2472
"410","Zea mays",-101.728267,18.317643,11,3455
"411","Zea mays",-95.200253,16.498068,11,2653
"412","Zea mays",-105.262282,19.936732,8,3717
"413","Zea mays",-105.262282,19.936732,8,3717
"414","Zea mays",-104.612035,19.697393,8,3483
"415","Zea mays",-104.612035,19.697393,8,3483
"416","Zea mays",-105.262282,19.936732,8,3717
"417","Zea mays",-105.262282,19.936732,8,3717
"418","Zea mays",-97.85,21.15,9,3922
"419","Zea mays",-105.262282,19.936732,8,3717
"420","Zea mays",-100.249473,18.298628,8,3518
"421","Zea mays",-94.35,16.48333333,11,2696
"422","Zea mays",-96.831814,17.528084,8,3250
"423","Zea mays",-59.55763,-26.355818,9,2346
"424","Zea mays",-97.71666667,21.35,9,3922
"425","Zea mays",-59.55763,-26.355818,9,2346
"426","Zea mays",-61.13333333,-27.13333333,8,1430
"427","Zea mays",-59.376539,-26.187077,9,2346
"428","Zea mays",-59.68,-25.33,9,2346
"429","Zea mays",-105.2,21.82,8,3932
"430","Zea mays",-105.2,21.82,8,3932
"431","Zea mays",-105.2,21.82,8,3932
"432","Zea mays",-96.710604,20.062451,9,2822
"433","Zea mays",-89.65,20.3,8,4256
"434","Zea mays",-97.52396,20.007577,2,5501
"435","Zea mays",-105.1333333,21.96666667,8,3932
"436","Zea mays",-105.1333333,21.96666667,8,3932
"437","Zea mays",-93.2296,18.296126,12,3023
"438","Zea mays",-59.378135,-26.187748,9,2346
"439","Zea mays",-60.45,-26.87,9,2273
"440","Zea mays",-60.73,-26.68,8,1430
"441","Zea mays",-104.35,19.76666667,8,3483
"442","Zea mays",-104.35,19.76666667,8,3483
"443","Zea mays",-105.370775,26.95746,8,1807
"444","Zea mays",-98.38333333,21.51666667,9,3460
"445","Zea mays",-105.3313889,27.1283333,8,1800
"446","Zea mays",-104.890933,27.130649,8,1800
"447","Zea mays",-103.274676,25.434457,8,2336
"448","Zea mays",-103.3333333,20.66666667,2,6264
"449","Zea mays",-83.94789,9.826232,2,7523
"450","Zea mays",-97.8,22.11,8,3502
"451","Zea mays",-84.176335,9.811291,2,7523
"452","Zea mays",-89.875981,14.497025,9,3191
"453","Zea mays",-102.7166667,19.96666667,9,2827
"454","Zea mays",-98.76666667,20.6,9,2054
"455","Zea mays",-101.03832,20.198115,2,4972
"456","Zea mays",-91.413563,14.530291,2,6326
"457","Zea mays",-83.052593,9.913101,11,4287
"458","Zea mays",-90.487282,15.092398,11,3333
"459","Zea mays",-89.858477,14.673184,9,4212
"460","Zea mays",-89.55,14.78333333,8,4411
"461","Zea mays",-103.005314,25.72199,8,2336
"462","Zea mays",-101.411113,20.955531,8,2258
"463","Zea mays",-82.910317,9.783843,NA,4287
"464","Zea mays",-82.942292,8.74664,8,3961
"465","Zea mays",-81.666375,8.246152,8,2448
